"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.721235807E1,1.931201104E1,-9.918315503E1,2.306913199E3,2.299024658E3,0.000000000E0,NaN,1.746508181E-1,3.790092468E0,4.140255928E0,1.200000000E1
4.821235807E1,1.931201156E1,-9.918315546E1,2.307047476E3,2.299158936E3,0.000000000E0,NaN,1.758814257E-1,3.826550722E0,4.319759846E0,1.300000000E1
4.921235807E1,1.931200129E1,-9.918315109E1,2.307856573E3,2.299968018E3,6.899999976E-1,1.678000031E2,1.780860588E-1,4.248711109E0,4.807641506E0,1.200000000E1
5.021235807E1,1.931198172E1,-9.918315446E1,2.309380305E3,2.301491699E3,2.500000000E0,1.948000031E2,1.803643038E-1,4.251054764E0,4.960079670E0,1.300000000E1
5.121235807E1,1.931196218E1,-9.918316099E1,2.310636710E3,2.302748047E3,2.430000067E0,1.986999969E2,1.834695166E-1,4.690852165E0,5.212059021E0,9.000000000E0
5.221235807E1,1.931194022E1,-9.918314271E1,2.313254888E3,2.305366211E3,3.359999895E0,1.731000061E2,1.866435069E-1,4.523129463E0,5.275953770E0,1.200000000E1
5.321235807E1,1.931191189E1,-9.918314641E1,2.313797439E3,2.305908691E3,3.630000114E0,1.648000031E2,1.899891077E-1,3.931687593E0,4.680524349E0,1.400000000E1
5.421235807E1,1.931188198E1,-9.918314295E1,2.314199600E3,2.306310791E3,3.470000029E0,1.731999969E2,1.942382404E-1,4.009688854E0,4.884393215E0,1.300000000E1
5.521235807E1,1.931184425E1,-9.918313653E1,2.314072231E3,2.306183350E3,4.130000114E0,1.690000000E2,1.982415225E-1,3.790092468E0,4.321006298E0,1.400000000E1
5.621235807E1,1.931180917E1,-9.918312795E1,2.314835721E3,2.306946777E3,3.970000029E0,1.723000031E2,2.029824172E-1,3.790092468E0,4.020715237E0,1.500000000E1
