"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.288233754E1,1.932372282E1,-9.917943413E1,2.301106619E3,2.293251953E3,7.099999785E-1,2.882000122E2,8.009893611E-2,3.790092468E0,3.618885279E0,1.400000000E1
6.388233754E1,1.932372680E1,-9.917943577E1,2.301236984E3,2.293382324E3,1.169999957E0,2.882000122E2,8.157110547E-2,3.790092468E0,3.681085825E0,1.400000000E1
6.488233754E1,1.932373945E1,-9.917943163E1,2.300923959E3,2.293069336E3,1.289999962E0,2.029999924E1,8.277831289E-2,3.790092468E0,3.606209993E0,1.300000000E1
6.588233754E1,1.932374981E1,-9.917942819E1,2.300866311E3,2.293011719E3,1.179999948E0,1.519999981E1,8.364568029E-2,3.790092468E0,3.773115158E0,1.300000000E1
6.688233754E1,1.932375600E1,-9.917943322E1,2.300308202E3,2.292453613E3,8.999999762E-1,3.347999878E2,8.453306334E-2,3.790092468E0,3.955862284E0,1.100000000E1
6.788233754E1,1.932376233E1,-9.917943837E1,2.300268159E3,2.292413574E3,8.999999762E-1,3.506000061E2,8.559409755E-2,4.867417812E0,4.082909107E0,1.100000000E1
6.888233754E1,1.932376403E1,-9.917944832E1,2.299493272E3,2.291638672E3,8.399999738E-1,3.132999878E2,8.761973857E-2,4.536700249E0,4.186753273E0,1.500000000E1
6.988233754E1,1.932376032E1,-9.917946722E1,2.297010408E3,2.289155762E3,1.460000038E0,2.706000061E2,8.962200817E-2,4.633211613E0,4.219730377E0,1.600000000E1
7.088233754E1,1.932375784E1,-9.917948612E1,2.294657912E3,2.286803223E3,4.199999869E-1,2.566000061E2,9.102880908E-2,4.332811832E0,4.327085018E0,1.400000000E1
7.188233754E1,1.932375494E1,-9.917949917E1,2.294582749E3,2.286728027E3,5.000000000E-1,2.592999878E2,9.257679327E-2,4.581898212E0,4.561931610E0,1.400000000E1
7.288233754E1,1.932375209E1,-9.917951361E1,2.294149434E3,2.286294678E3,8.600000143E-1,2.718999939E2,9.445401255E-2,5.481035709E0,4.919847965E0,1.500000000E1
7.388233754E1,1.932375289E1,-9.917953148E1,2.291767144E3,2.283912354E3,1.210000038E0,2.751000061E2,9.626839948E-2,5.432381630E0,5.273204803E0,1.500000000E1
7.488233754E1,1.932375309E1,-9.917954877E1,2.291550381E3,2.283695557E3,9.100000262E-1,2.732000122E2,9.773136877E-2,5.866819382E0,5.838263988E0,1.700000000E1
7.588233754E1,1.932376026E1,-9.917956046E1,2.290846774E3,2.282991943E3,6.700000167E-1,2.872999878E2,9.915679124E-2,6.389271736E0,6.238879204E0,1.700000000E1
7.688233754E1,1.932377128E1,-9.917956740E1,2.290427085E3,2.282572266E3,8.000000119E-1,3.053999939E2,1.007472829E-1,6.989191055E0,6.388669968E0,1.800000000E1
