"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.880830588E1,1.932902161E1,-9.912193862E1,2.240063372E3,2.232334473E3,9.939999580E0,9.690000153E1,9.131942306E-1,3.790092468E0,2.500000000E0,1.700000000E1
4.980830588E1,1.932901443E1,-9.912184508E1,2.240141328E3,2.232412598E3,1.047000027E1,9.569999695E1,9.234336196E-1,3.790092468E0,2.500000000E0,2.000000000E1
5.080830588E1,1.932900739E1,-9.912174778E1,2.240321816E3,2.232593262E3,1.094999981E1,9.369999695E1,9.342815848E-1,3.790092468E0,2.526173115E0,1.900000000E1
5.180830588E1,1.932899942E1,-9.912164474E1,2.240709081E3,2.232980713E3,1.121000004E1,9.550000000E1,9.450852365E-1,3.790092468E0,2.500000000E0,2.000000000E1
5.280830588E1,1.932899507E1,-9.912154188E1,2.239954004E3,2.232225830E3,1.156999969E1,9.530000305E1,9.565191698E-1,3.790092468E0,3.662323952E0,1.800000000E1
5.380830588E1,1.932899520E1,-9.912143291E1,2.239734794E3,2.232006836E3,1.152000046E1,9.450000000E1,9.682753918E-1,3.790092468E0,4.085340500E0,1.900000000E1
5.480830588E1,1.932898732E1,-9.912132118E1,2.239487032E3,2.231759277E3,1.201000023E1,9.500000000E1,9.799086264E-1,3.790092468E0,4.531942844E0,1.800000000E1
5.580830588E1,1.932897812E1,-9.912121074E1,2.239420184E3,2.231692627E3,1.101000023E1,9.419999695E1,9.909877591E-1,3.790092468E0,4.779579163E0,1.900000000E1
5.680830588E1,1.932896398E1,-9.912110622E1,2.239658290E3,2.231930908E3,1.017000008E1,9.419999695E1,9.998195021E-1,3.808193445E0,5.133499622E0,1.900000000E1
5.780830588E1,1.932895644E1,-9.912102243E1,2.239367614E3,2.231640381E3,8.529999733E0,9.509999847E1,1.007093538E0,3.905011654E0,5.419668674E0,1.800000000E1
5.880830588E1,1.932895167E1,-9.912095329E1,2.240400691E3,2.232673584E3,6.190000057E0,9.300000000E1,1.011896170E0,3.883681059E0,5.409951687E0,1.800000000E1
5.980830588E1,1.932894805E1,-9.912090768E1,2.240363988E3,2.232636963E3,3.269999981E0,9.750000000E1,1.014433433E0,3.790092468E0,4.897944927E0,1.700000000E1
6.080830588E1,1.932895076E1,-9.912088367E1,2.241600018E3,2.233873047E3,1.570000052E0,9.150000000E1,1.016142353E0,3.790092468E0,4.471622467E0,1.800000000E1
6.180830588E1,1.932894619E1,-9.912086812E1,2.242672019E3,2.234945068E3,1.509999990E0,9.400000000E1,1.016780823E0,3.790092468E0,4.422581673E0,2.000000000E1
6.280830588E1,1.932894848E1,-9.912086254E1,2.243218878E3,2.235491943E3,0.000000000E0,NaN,1.016927394E0,3.790092468E0,4.476515293E0,1.700000000E1
6.380830588E1,1.932894936E1,-9.912086150E1,2.243524538E3,2.235797607E3,0.000000000E0,NaN,1.017082009E0,3.790092468E0,4.122252941E0,2.200000000E1
6.480830588E1,1.932894809E1,-9.912086090E1,2.243543095E3,2.235816162E3,0.000000000E0,NaN,1.017159330E0,3.790092468E0,3.662092924E0,2.000000000E1
6.580830588E1,1.932894750E1,-9.912086051E1,2.243645634E3,2.235918701E3,0.000000000E0,NaN,1.017255278E0,3.790092468E0,3.291381121E0,2.000000000E1
6.680830588E1,1.932894667E1,-9.912086026E1,2.243667120E3,2.235940186E3,0.000000000E0,NaN,1.017431373E0,3.790092468E0,3.012542963E0,2.000000000E1
6.780830588E1,1.932894510E1,-9.912086048E1,2.243685435E3,2.235958496E3,0.000000000E0,NaN,1.017571795E0,3.790092468E0,3.039940357E0,2.000000000E1
6.880830588E1,1.932894596E1,-9.912085950E1,2.243858770E3,2.236131836E3,0.000000000E0,NaN,1.017707799E0,3.790092468E0,2.980460644E0,1.800000000E1
6.980830588E1,1.932894523E1,-9.912086054E1,2.243825083E3,2.236098145E3,0.000000000E0,NaN,1.017987955E0,3.790092468E0,3.008698225E0,1.900000000E1
7.080830588E1,1.932894523E1,-9.912085787E1,2.244435185E3,2.236708252E3,0.000000000E0,NaN,1.018341012E0,3.790092468E0,2.978407860E0,1.600000000E1
7.180830588E1,1.932894461E1,-9.912085457E1,2.244533813E3,2.236806885E3,0.000000000E0,NaN,1.018425566E0,3.790092468E0,3.067285538E0,1.800000000E1
7.280830588E1,1.932894476E1,-9.912085378E1,2.244620725E3,2.236893799E3,0.000000000E0,NaN,1.018472067E0,3.790092468E0,3.003492594E0,1.700000000E1
7.380830588E1,1.932894481E1,-9.912085422E1,2.244521360E3,2.236794434E3,0.000000000E0,NaN,1.018483953E0,3.790092468E0,2.960452318E0,1.800000000E1
7.480830588E1,1.932894471E1,-9.912085426E1,2.244509886E3,2.236782959E3,0.000000000E0,NaN,1.018491661E0,3.790092468E0,2.844726562E0,1.700000000E1
7.580830588E1,1.932894475E1,-9.912085420E1,2.244498167E3,2.236771240E3,0.000000000E0,NaN,1.018493190E0,3.790092468E0,2.837825298E0,1.600000000E1
7.680830588E1,1.932894474E1,-9.912085419E1,2.244494993E3,2.236768066E3,0.000000000E0,NaN,1.018502626E0,3.790092468E0,3.037893772E0,1.400000000E1
7.780830588E1,1.932894482E1,-9.912085422E1,2.244480833E3,2.236753906E3,0.000000000E0,NaN,1.018503738E0,3.790092468E0,3.072492361E0,1.600000000E1
7.880830588E1,1.932894481E1,-9.912085422E1,2.244477903E3,2.236750977E3,0.000000000E0,NaN,1.018506113E0,3.790092468E0,2.902262688E0,1.500000000E1
7.980830588E1,1.932894480E1,-9.912085420E1,2.244478147E3,2.236751221E3,0.000000000E0,NaN,1.018508488E0,3.790092468E0,2.714298964E0,1.800000000E1
8.080830588E1,1.932894479E1,-9.912085418E1,2.244479856E3,2.236752930E3,0.000000000E0,NaN,1.018514881E0,3.790092468E0,2.648909330E0,2.300000000E1
8.180830588E1,1.932894478E1,-9.912085412E1,2.244489134E3,2.236762207E3,0.000000000E0,NaN,1.018516410E0,3.790092468E0,2.889090061E0,2.100000000E1
8.280830588E1,1.932894477E1,-9.912085413E1,2.244487425E3,2.236760498E3,0.000000000E0,NaN,1.018517522E0,3.790092468E0,2.724474430E0,2.000000000E1
8.380830588E1,1.932894476E1,-9.912085413E1,2.244490599E3,2.236763672E3,0.000000000E0,NaN,1.018519896E0,3.790092468E0,2.500000000E0,1.900000000E1
8.480830588E1,1.932894477E1,-9.912085411E1,2.244499143E3,2.236772217E3,0.000000000E0,NaN,1.018527325E0,3.790092468E0,2.500000000E0,2.000000000E1
8.580830588E1,1.932894476E1,-9.912085404E1,2.244517698E3,2.236790771E3,0.000000000E0,NaN,1.018529424E0,3.790092468E0,2.989711523E0,1.600000000E1
8.680830588E1,1.932894476E1,-9.912085406E1,2.244514524E3,2.236787598E3,0.000000000E0,NaN,1.018537098E0,3.790092468E0,2.872851133E0,1.900000000E1
8.780830588E1,1.932894478E1,-9.912085399E1,2.244529172E3,2.236802246E3,0.000000000E0,NaN,1.018539473E0,3.790092468E0,3.214215279E0,1.800000000E1
8.880830588E1,1.932894479E1,-9.912085401E1,2.244530149E3,2.236803223E3,0.000000000E0,NaN,1.018540522E0,3.790092468E0,3.050922155E0,1.900000000E1
8.980830588E1,1.932894479E1,-9.912085402E1,2.244529417E3,2.236802490E3,0.000000000E0,NaN,1.018542981E0,3.790092468E0,2.940161467E0,1.700000000E1
9.080830588E1,1.932894477E1,-9.912085403E1,2.244529417E3,2.236802490E3,0.000000000E0,NaN,1.018544510E0,3.790092468E0,2.756989717E0,1.800000000E1
9.180830588E1,1.932894478E1,-9.912085404E1,2.244525755E3,2.236798828E3,0.000000000E0,NaN,1.018545622E0,3.790092468E0,2.608018160E0,1.800000000E1
9.280830588E1,1.932894479E1,-9.912085404E1,2.244526243E3,2.236799316E3,0.000000000E0,NaN,1.018546671E0,3.790092468E0,2.614503622E0,1.700000000E1
9.380830588E1,1.932894479E1,-9.912085405E1,2.244527952E3,2.236801025E3,0.000000000E0,NaN,1.018550007E0,3.790092468E0,2.500000000E0,1.600000000E1
9.480830588E1,1.932894476E1,-9.912085405E1,2.244525022E3,2.236798096E3,0.000000000E0,NaN,1.018555253E0,3.790092468E0,2.500000000E0,2.000000000E1
9.580830588E1,1.932894476E1,-9.912085410E1,2.244522825E3,2.236795898E3,0.000000000E0,NaN,1.020242626E0,3.790092468E0,2.500000000E0,1.800000000E1
9.680830588E1,1.932894119E1,-9.912083847E1,2.244608740E3,2.236881836E3,2.869999886E0,9.600000000E1,1.022679103E0,3.790092468E0,2.500000000E0,1.400000000E1
9.780830588E1,1.932894135E1,-9.912081525E1,2.244189016E3,2.236462158E3,3.220000029E0,9.800000000E1,1.026870816E0,3.790092468E0,2.502351999E0,2.000000000E1
9.880830588E1,1.932893624E1,-9.912077567E1,2.244258529E3,2.236531738E3,5.230000019E0,9.390000153E1,1.032202680E0,3.790092468E0,2.500000000E0,1.900000000E1
9.980830588E1,1.932893117E1,-9.912072514E1,2.243574846E3,2.235848145E3,5.619999886E0,9.719999695E1,1.039320148E0,3.790092468E0,2.766752005E0,1.900000000E1
1.008083059E2,1.932892355E1,-9.912065779E1,2.243370629E3,2.235644043E3,8.130000114E0,9.409999847E1,1.047868780E0,3.790092468E0,3.034012079E0,2.100000000E1
1.018083059E2,1.932891153E1,-9.912057732E1,2.242836805E3,2.235110352E3,9.109999657E0,9.850000000E1,1.057845849E0,3.790092468E0,2.879739761E0,2.000000000E1
1.028083059E2,1.932890062E1,-9.912048294E1,2.243073948E3,2.235347656E3,1.011999989E1,9.419999695E1,1.068285752E0,3.790092468E0,2.882264376E0,1.900000000E1
1.038083059E2,1.932889503E1,-9.912038362E1,2.243202670E3,2.235476562E3,1.052000046E1,9.619999695E1,1.079342763E0,3.790092468E0,2.888475657E0,1.900000000E1
1.048083059E2,1.932888864E1,-9.912027846E1,2.242836998E3,2.235111084E3,1.131999969E1,9.180000305E1,1.090990631E0,3.790092468E0,2.876663208E0,1.600000000E1
1.058083059E2,1.932888149E1,-9.912016771E1,2.242332400E3,2.234606689E3,1.182999992E1,9.540000153E1,1.103905102E0,3.790092468E0,2.890866280E0,1.800000000E1
1.068083059E2,1.932886966E1,-9.912004527E1,2.242474518E3,2.234749023E3,1.309000015E1,9.759999847E1,1.115606586E0,3.790092468E0,2.836477757E0,1.800000000E1
1.078083059E2,1.932885764E1,-9.911993448E1,2.241096885E3,2.233371582E3,1.326000023E1,9.490000153E1,1.128448053E0,3.790092468E0,3.327810764E0,1.700000000E1
1.088083059E2,1.932884386E1,-9.911981297E1,2.240456783E3,2.232731689E3,1.282999992E1,9.819999695E1,1.142594189E0,3.790092468E0,3.484437466E0,1.600000000E1
1.098083059E2,1.932884176E1,-9.911967817E1,2.240714333E3,2.232989502E3,1.434000015E1,9.350000000E1,1.156866874E0,3.790092468E0,3.640313625E0,1.800000000E1
1.108083059E2,1.932883250E1,-9.911954250E1,2.242032201E3,2.234307617E3,1.451000023E1,9.350000000E1,1.171122796E0,3.790092468E0,3.515809536E0,1.700000000E1
1.118083059E2,1.932882825E1,-9.911940671E1,2.242953573E3,2.235229248E3,1.427000046E1,9.380000305E1,1.185616506E0,3.790092468E0,3.456656933E0,1.800000000E1
1.128083059E2,1.932881705E1,-9.911926909E1,2.241943560E3,2.234219482E3,1.431000042E1,9.500000000E1,1.199459066E0,3.790092468E0,3.488902807E0,1.900000000E1
1.138083059E2,1.932880978E1,-9.911913739E1,2.242239702E3,2.234515869E3,1.411999989E1,9.500000000E1,1.213739321E0,3.790092468E0,3.738328457E0,1.900000000E1
1.148083059E2,1.932880049E1,-9.911900165E1,2.242008009E3,2.234284424E3,1.398999977E1,9.419999695E1,1.229247791E0,3.790092468E0,3.455336332E0,1.800000000E1
1.158083059E2,1.932879047E1,-9.911885423E1,2.243823170E3,2.236099854E3,1.472000027E1,9.490000153E1,1.243284592E0,3.790092468E0,3.649922371E0,1.800000000E1
1.168083059E2,1.932878040E1,-9.911872088E1,2.243759208E3,2.236036133E3,1.484000015E1,9.450000000E1,1.258542071E0,3.790092468E0,3.717696905E0,2.000000000E1
1.178083059E2,1.932876550E1,-9.911857633E1,2.244654463E3,2.236931641E3,1.497999954E1,9.719999695E1,1.273779186E0,3.790092468E0,3.873679876E0,1.700000000E1
1.188083059E2,1.932875876E1,-9.911843129E1,2.245061418E3,2.237338867E3,1.550000000E1,9.430000305E1,1.288148118E0,3.790092468E0,4.052392006E0,1.100000000E1
1.198083059E2,1.932874782E1,-9.911829484E1,2.243964493E3,2.236242188E3,1.464000034E1,9.319999695E1,1.303664441E0,3.790092468E0,4.255041122E0,1.700000000E1
1.208083059E2,1.932873827E1,-9.911814731E1,2.244333851E3,2.236611816E3,1.503999996E1,9.500000000E1,1.318459184E0,3.790092468E0,4.319146156E0,1.800000000E1
1.218083059E2,1.932872343E1,-9.911800719E1,2.244887318E3,2.237165527E3,1.500000000E1,9.440000153E1,1.334009780E0,3.790092468E0,3.865540028E0,1.800000000E1
1.228083059E2,1.932871072E1,-9.911785960E1,2.243765717E3,2.236044189E3,1.536999989E1,9.540000153E1,1.349631671E0,3.790092468E0,3.585735559E0,1.500000000E1
1.238083059E2,1.932869661E1,-9.911771147E1,2.243680006E3,2.235958740E3,1.497999954E1,9.469999695E1,1.365352161E0,3.790092468E0,3.191462755E0,1.600000000E1
1.248083059E2,1.932869192E1,-9.911756173E1,2.240773226E3,2.233052246E3,1.493999958E1,9.450000000E1,1.379817747E0,3.790092468E0,3.380104542E0,2.000000000E1
1.258083059E2,1.932867595E1,-9.911742491E1,2.240799115E3,2.233078369E3,1.431999969E1,9.559999847E1,1.394213925E0,3.790092468E0,3.204177141E0,1.900000000E1
1.268083059E2,1.932866026E1,-9.911728872E1,2.241812552E3,2.234092041E3,1.390999985E1,9.619999695E1,1.407373108E0,3.790092468E0,3.165284872E0,1.800000000E1
1.278083059E2,1.932865758E1,-9.911716334E1,2.241939751E3,2.234219482E3,1.353999996E1,9.140000153E1,1.420514182E0,3.790092468E0,2.979827404E0,1.700000000E1
1.288083059E2,1.932865549E1,-9.911703812E1,2.242267389E3,2.234547363E3,1.321000004E1,9.030000305E1,1.431407380E0,3.790092468E0,3.268576860E0,1.800000000E1
1.298083059E2,1.932865256E1,-9.911693435E1,2.242547464E3,2.234827637E3,1.205000019E1,9.019999695E1,1.442177767E0,3.790092468E0,3.320675611E0,1.800000000E1
1.308083059E2,1.932865085E1,-9.911683172E1,2.243085595E3,2.235365967E3,9.390000343E0,9.009999847E1,1.450194820E0,3.790092468E0,3.284155130E0,1.500000000E1
1.318083059E2,1.932864009E1,-9.911675617E1,2.244246114E3,2.236526611E3,6.809999943E0,1.008000031E2,1.455773505E0,3.790092468E0,2.907160044E0,1.700000000E1
1.328083059E2,1.932864169E1,-9.911670303E1,2.243913242E3,2.236193848E3,4.079999924E0,8.959999847E1,1.461253500E0,3.790092468E0,2.819141865E0,1.800000000E1
1.338083059E2,1.932863235E1,-9.911665175E1,2.246227858E3,2.238508545E3,5.579999924E0,9.590000153E1,1.468171072E0,3.790092468E0,3.437577009E0,1.800000000E1
1.348083059E2,1.932862616E1,-9.911658615E1,2.245511678E3,2.237792480E3,7.630000114E0,9.440000153E1,1.476940919E0,3.790092468E0,3.625120163E0,1.900000000E1
1.358083059E2,1.932861746E1,-9.911650308E1,2.244841611E3,2.237122559E3,9.579999924E0,9.540000153E1,1.485903144E0,3.790092468E0,3.480439663E0,1.800000000E1
1.368083059E2,1.932861279E1,-9.911641781E1,2.245931785E3,2.238212891E3,1.006999969E1,9.509999847E1,1.495691943E0,3.790092468E0,3.303760290E0,2.000000000E1
1.378083059E2,1.932860516E1,-9.911632487E1,2.245349099E3,2.237630371E3,1.075000000E1,9.559999847E1,1.506958046E0,3.790092468E0,3.097223282E0,1.800000000E1
1.388083059E2,1.932859109E1,-9.911621854E1,2.245060102E3,2.237341553E3,1.193000031E1,9.569999695E1,1.519194681E0,3.790092468E0,2.884773731E0,1.800000000E1
1.398083059E2,1.932857515E1,-9.911610315E1,2.244700534E3,2.236982178E3,1.302000046E1,9.569999695E1,1.532611442E0,3.790092468E0,2.765583992E0,1.700000000E1
1.408083059E2,1.932856666E1,-9.911597560E1,2.244717635E3,2.236999512E3,1.393999958E1,9.480000305E1,1.546534178E0,3.790092468E0,2.633119583E0,1.800000000E1
1.418083059E2,1.932855603E1,-9.911584339E1,2.244902456E3,2.237184570E3,1.380000019E1,9.459999847E1,1.560888246E0,3.790092468E0,2.824655056E0,1.600000000E1
1.428083059E2,1.932854960E1,-9.911570676E1,2.245719094E3,2.238001465E3,1.468999958E1,9.480000305E1,1.576303998E0,3.790092468E0,2.794281721E0,1.700000000E1
1.438083059E2,1.932853591E1,-9.911556056E1,2.246075525E3,2.238358154E3,1.531000042E1,9.519999695E1,1.591806197E0,3.790092468E0,2.969807386E0,1.500000000E1
1.448083059E2,1.932852205E1,-9.911541355E1,2.245121164E3,2.237404053E3,1.593000031E1,9.490000153E1,1.608032958E0,3.790092468E0,3.229351521E0,1.600000000E1
1.458083059E2,1.932850861E1,-9.911525956E1,2.246266886E3,2.238550049E3,1.652000046E1,9.659999847E1,1.624866894E0,3.790092468E0,3.292162895E0,1.600000000E1
1.468083059E2,1.932849627E1,-9.911509966E1,2.246870112E3,2.239153564E3,1.672999954E1,9.419999695E1,1.642298418E0,3.790092468E0,3.103468180E0,1.700000000E1
1.478083059E2,1.932848211E1,-9.911493421E1,2.247707708E3,2.239991455E3,1.689999962E1,9.559999847E1,1.658991503E0,3.790092468E0,3.027475834E0,1.500000000E1
1.488083059E2,1.932846706E1,-9.911477592E1,2.247948883E3,2.240232910E3,1.636000061E1,9.550000000E1,1.675570653E0,3.790092468E0,3.103161573E0,1.700000000E1
1.498083059E2,1.932845468E1,-9.911461846E1,2.249805777E3,2.242090088E3,1.628000069E1,9.409999847E1,1.691729302E0,3.790092468E0,3.067602634E0,1.700000000E1
1.508083059E2,1.932844348E1,-9.911446492E1,2.249705157E3,2.241989746E3,1.615999985E1,9.459999847E1,1.707746602E0,3.790092468E0,3.052404165E0,1.900000000E1
1.518083059E2,1.932843400E1,-9.911431260E1,2.251227093E3,2.243511963E3,1.593000031E1,9.459999847E1,1.723738510E0,3.790092468E0,2.777941942E0,1.700000000E1
1.528083059E2,1.932842562E1,-9.911416045E1,2.252534917E3,2.244820068E3,1.576000023E1,9.469999695E1,1.737697485E0,3.790092468E0,2.694565058E0,2.000000000E1
1.538083059E2,1.932842461E1,-9.911402742E1,2.251697497E3,2.243982910E3,1.548999977E1,9.430000305E1,1.753616243E0,3.790092468E0,2.935673475E0,1.600000000E1
1.548083059E2,1.932841446E1,-9.911387609E1,2.251793900E3,2.244079590E3,1.544999981E1,9.409999847E1,1.769351062E0,3.790092468E0,2.985797405E0,1.500000000E1
