"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.229498432E1,1.932322164E1,-9.917985316E1,2.295651795E3,2.287795166E3,4.409999847E0,1.713999939E2,1.613205755E-1,3.790092468E0,2.915627956E0,1.800000000E1
4.329498432E1,1.932318009E1,-9.917986581E1,2.293371397E3,2.285514648E3,4.130000114E0,1.650000000E2,1.653714454E-1,3.790092468E0,3.094204903E0,1.300000000E1
4.429498432E1,1.932314655E1,-9.917985074E1,2.293819929E3,2.285963135E3,3.410000086E0,1.566000061E2,1.685158772E-1,3.790092468E0,2.836997032E0,1.600000000E1
4.529498432E1,1.932311856E1,-9.917984647E1,2.293029457E3,2.285172607E3,3.200000048E0,1.471000061E2,1.717219775E-1,3.790092468E0,2.900886774E0,1.700000000E1
4.629498432E1,1.932309630E1,-9.917982705E1,2.292772388E3,2.284915527E3,3.619999886E0,1.220000000E2,1.758353321E-1,3.790092468E0,3.083378792E0,1.700000000E1
4.729498432E1,1.932308049E1,-9.917979161E1,2.292942276E3,2.285085449E3,4.050000191E0,1.110999985E2,1.795369560E-1,3.790092468E0,2.796589375E0,1.800000000E1
4.829498432E1,1.932306953E1,-9.917975830E1,2.292695897E3,2.284839111E3,3.559999943E0,1.018000031E2,1.834812247E-1,3.790092468E0,3.069147110E0,1.800000000E1
4.929498432E1,1.932306317E1,-9.917972132E1,2.293555213E3,2.285698486E3,3.890000105E0,1.015999985E2,1.872382896E-1,3.790092468E0,3.133734465E0,1.700000000E1
5.029498432E1,1.932305558E1,-9.917968643E1,2.292956772E3,2.285100098E3,3.779999971E0,9.840000153E1,1.908306202E-1,3.790092468E0,3.023914576E0,1.900000000E1
5.129498432E1,1.932305502E1,-9.917965220E1,2.292424968E3,2.284568359E3,3.759999990E0,9.459999847E1,1.947735794E-1,3.790092468E0,2.829000950E0,1.900000000E1
5.229498432E1,1.932305149E1,-9.917961481E1,2.292460790E3,2.284604248E3,3.609999895E0,9.719999695E1,1.978687602E-1,3.790092468E0,2.699900389E0,1.800000000E1
5.329498432E1,1.932304601E1,-9.917958589E1,2.292356497E3,2.284500000E3,3.250000000E0,1.005999985E2,2.016595022E-1,3.790092468E0,2.856787920E0,1.900000000E1
5.429498432E1,1.932304395E1,-9.917954983E1,2.292794419E3,2.284937988E3,3.640000105E0,1.025999985E2,2.054148039E-1,3.790092468E0,2.896179914E0,1.700000000E1
5.529498432E1,1.932303367E1,-9.917951574E1,2.293225039E3,2.285368652E3,4.409999847E0,1.056999969E2,2.095679820E-1,3.790092468E0,2.813435793E0,1.900000000E1
5.629498432E1,1.932302414E1,-9.917947747E1,2.293640024E3,2.285783691E3,4.159999847E0,1.033000031E2,2.143568539E-1,3.790092468E0,2.788740873E0,1.800000000E1
5.729498432E1,1.932301868E1,-9.917943220E1,2.293353569E3,2.285497314E3,4.809999943E0,1.028000031E2,2.188849990E-1,3.790092468E0,2.657073259E0,1.900000000E1
5.829498432E1,1.932301436E1,-9.917938929E1,2.293436014E3,2.285579834E3,4.750000000E0,1.030999985E2,2.238265541E-1,3.790092468E0,2.841710806E0,2.000000000E1
5.929498432E1,1.932300043E1,-9.917934457E1,2.292641279E3,2.284785156E3,5.159999847E0,1.025000000E2,2.289280829E-1,3.790092468E0,2.747328758E0,1.900000000E1
6.029498432E1,1.932299205E1,-9.917929677E1,2.292803801E3,2.284947754E3,4.800000191E0,1.009000015E2,2.334987842E-1,3.790092468E0,2.500000000E0,2.100000000E1
6.129498432E1,1.932298388E1,-9.917925408E1,2.292465112E3,2.284609131E3,4.619999886E0,1.004000015E2,2.385223333E-1,3.790092468E0,2.500000000E0,1.900000000E1
6.229498432E1,1.932297481E1,-9.917920718E1,2.292869336E3,2.285013428E3,4.630000114E0,1.006999969E2,2.434523113E-1,3.790092468E0,2.644033432E0,2.000000000E1
6.329498432E1,1.932296417E1,-9.917916157E1,2.292922004E3,2.285066162E3,4.670000076E0,1.015999985E2,2.480174649E-1,3.790092468E0,2.579363346E0,2.000000000E1
6.429498432E1,1.932295240E1,-9.917911989E1,2.291683423E3,2.283827637E3,4.559999943E0,1.123000031E2,2.530376038E-1,3.790092468E0,2.561140299E0,1.800000000E1
6.529498432E1,1.932292782E1,-9.917907976E1,2.291968311E3,2.284112549E3,5.000000000E0,1.293999939E2,2.575784499E-1,3.790092468E0,2.517740965E0,1.800000000E1
6.629498432E1,1.932289745E1,-9.917905083E1,2.291831360E3,2.283975586E3,4.550000191E0,1.476999969E2,2.625695359E-1,3.790092468E0,2.500000000E0,2.000000000E1
6.729498432E1,1.932286172E1,-9.917902204E1,2.292265954E3,2.284410156E3,4.929999828E0,1.493000031E2,2.665678269E-1,3.790092468E0,2.500000000E0,2.000000000E1
6.829498432E1,1.932282846E1,-9.917900756E1,2.291567270E3,2.283711426E3,4.860000134E0,1.525000000E2,2.714884617E-1,3.790092468E0,2.500000000E0,1.700000000E1
6.929498432E1,1.932278988E1,-9.917898459E1,2.291100271E3,2.283244385E3,4.619999886E0,1.521000061E2,2.757370858E-1,3.790092468E0,2.500000000E0,1.800000000E1
7.029498432E1,1.932275503E1,-9.917896799E1,2.292286596E3,2.284430664E3,4.000000000E0,1.546999969E2,2.793715075E-1,3.790092468E0,2.500000000E0,2.000000000E1
